Card Name,Card Description,Labels,Checklist,Checklist item
US 1 Kunde Produktgennemsyn,"*Som* kunde, *Ønsker jeg* at kunne se butikkens portfølje i kategorier, *Med det formål* bedst at kunne vælge det produkt, der opfylder mit behov.",3 (yellow),,
,,,Tasks,"Implementer Razor Page, der kan fremvise alle produkter i en udvalgt kategori."
,,,Acceptance Criteria,"Givet at en kunde vil se en bestemt produktkategori, *når* de leder efter et produkt der opfylder deres behov, *så* får de en tilsvarende afgrænset visning af produktkataloget."
US 2 Bedemand Speciel Ordre Funktion,"*Som* bedemand, *Ønsker jeg* at kunne bestille specialdesignet blomsterarrangement direkte via en dedikeret side, *Med det formål* at effektivisere bestillingsprocessen for begravelsesarrangementer.",3 (yellow),,
,,,Tasks,Opret en dedikeret side for bedemænd med tilpassede bestillingsmuligheder.
,,,Acceptance Criteria,"Givet at en bedemand er logget ind, *når* de tilgår den dedikerede side, *så* skal de kunne vælge og tilpasse blomsterarrangementer specielt designet til begravelser."
US 3 Medarbejder Ordrehåndtering,"*Som* medarbejder, *Ønsker jeg* at kunne se og administrere indkommende ordrer, *Med det formål* at effektivisere processen for ordreklargøring og levering.",3 (yellow),,
,,,Tasks,Implementer en administrationsside for medarbejdere til håndtering af ordrer.
,,,Acceptance Criteria,"Givet at en medarbejder er logget ind, *når* de tilgår administrationspanelet, *så* skal de kunne se en liste over aktive ordrer og opdatere deres status."
US 4 Bestyrer Produktadministration,"*Som* bestyrer, *Ønsker jeg* at kunne oprette og opdatere produkter i webshoppen, *Med det formål* at sikre, at produktudvalget altid er aktuelt og korrekt prissat.",3 (yellow),,
,,,Tasks,Udvikle en brugergrænseflade for produktadministration i administrationspanelet.
,,,Acceptance Criteria,"Givet at en bestyrer er logget ind, *når* de tilgår produktadministrationsmodulet, *så* skal de kunne tilføje nye produkter, redigere eksisterende produkter og arkivere forældede produkter."
US 5 Kunde Ordreopfølgning,"*Som* kunde, *Ønsker jeg* at kunne spore status for min ordre, *Med det formål* at holde mig opdateret om leveringstidspunktet.",3 (yellow),,
,,,Tasks,Implementer en funktion til ordreopfølgning på kundens profilside.
,,,Acceptance Criteria,"Givet at kunden har afgivet en ordre, *når* de logger ind og tjekker deres ordrestatus, *så* skal de kunne se den aktuelle status og forventet leveringstidspunkt."
US 6 Bedemand Automatisk Fakturering,"*Som* bedemand, *Ønsker jeg* automatisk at modtage en faktura ved bestilling, *Med det formål* at forenkle regnskabsprocessen.",3 (yellow),,
,,,Tasks,"Udvikle en automatisk faktureringsproces, der sender fakturaer direkte til bedemandens e-mail efter ordreafgivelse."
,,,Acceptance Criteria,"Givet at en bedemand afgiver en bestilling, *når* ordren er bekræftet, *så* modtager de en faktura via e-mail."
US 7 Medarbejder Lagerstyring,"*Som* medarbejder, *Ønsker jeg* et dashboard til at monitorere lagerstatus, *Med det formål* at forebygge mangler og optimere lagerbeholdningen.",3 (yellow),,
,,,Tasks,Implementer et lagerstyringsmodul i medarbejderens administrationspanel.
,,,Acceptance Criteria,"Givet at en medarbejder ønsker at tjekke lagerstatus, *når* de logger ind på dashboardet, *så* skal de kunne se aktuelle lagerantal for alle produkter."
US 8 Bestyrer Salgsrapporter,"*Som* bestyrer, *Ønsker jeg* at kunne generere detaljerede salgsrapporter, *Med det formål* at analysere salgstendenser og foretage datadrevne beslutninger.",3 (yellow),,
,,,Tasks,Udvikle en funktion til at generere og eksportere salgsrapporter i administrationspanelet.
,,,Acceptance Criteria,"Givet at en bestyrer ønsker at se salgsdata, *når* de vælger rapporteringsperioden og genererer rapporten, *så* præsenteres de for en detaljeret rapport over salg fordelt på produkter, kategorier og tidspunkter."
US 9 Kunde Gavekort og rabatkoder,"*Som* kunde, *Ønsker jeg* at kunne anvende gavekort og rabatkoder ved checkout, *Med det formål* at udnytte tilbud og spare penge på køb.",3 (yellow),,
,,,Tasks,"Udvikle en funktion, der tillader kunder at indløse gavekort og anvende rabatkoder ved betaling."
,,,Acceptance Criteria,"Givet at en kunde har et gyldigt gavekort eller rabatkode, *når* de indtaster koden ved checkout, *så* skal den pågældende rabat eller gavekortets værdi fratrækkes fra den samlede ordre."
US 10 Medarbejder Automatiske notifikationer,"*Som* medarbejder, *Ønsker jeg* at modtage automatiske notifikationer om nye ordrer, *Med det formål* at kunne påbegynde ordrebehandling så hurtigt som muligt.",3 (yellow),,
,,,Tasks,"Implementer en notifikationsfunktion, der alarmerer medarbejdere om nye ordrer via e-mail eller systempopup."
,,,Acceptance Criteria,"Givet at en ny ordre er afgivet, *når* ordren registreres i systemet, *så* modtager relevante medarbejdere en notifikation."
US 11 Kunde Feedback og anmeldelser,"*Som* kunde, *Ønsker jeg* at kunne afgive feedback og anmelde produkter, *Med det formål* at dele min oplevelse med andre kunder og hjælpe dem med at træffe informerede købsbeslutninger.",3 (yellow),,
,,,Tasks,Implementer en feedback og anmeldelsesfunktion på produkt siderne.
,,,Acceptance Criteria,"Givet at en kunde har købt et produkt, *når* de besøger produktets side efter købet, *så* skal de kunne skrive og indsende en anmeldelse."
US 12 Se Produkter,"*Som* kunde, *Ønsker jeg* at se alle tilgængelige produkter, *Med det formål* at vælge et produkt.",3 (yellow),,
,,,Tasks,Implementer en produktoversigtsside med alle tilgængelige produkter.
,,,Acceptance Criteria,"Givet at en kunde besøger produktoversigtssiden, *når* de kigger igennem siden, *så* skal de kunne se alle produkter, der er til salg."
US 13 Tilføj til Kurv,"*Som* bruger, *Ønsker jeg* at tilføje et produkt til min kurv, *Med det formål* at samle min bestilling.",3 (yellow),,
,,,Tasks,Implementer en funktion til at tilføje produkter til en indkøbskurv.
,,,Acceptance Criteria,"Givet at en bruger vælger et produkt, *når* de klikker på ""tilføj til kurv""-knappen, *så* skal produktet blive tilføjet til deres kurv."
US 14 Adgang til Kurv,"*Som* ejer, *Ønsker jeg* at kunden skal være logget ind for at få adgang til kurven, *Med det formål* at undgå anonyme køb.",3 (yellow),,
,,,Tasks,Kræv at brugere logger ind før de kan tilføje produkter til kurven.
,,,Acceptance Criteria,"Givet at en kunde ønsker at tilføje produkter til en kurv, *når* de forsøger at gøre dette, *så* skal de blive bedt om at logge ind eller oprette en konto."
US 15 Opret Ordre,"*Som* kunde, *Ønsker jeg* at skabe en ordre fra min kurv, *Med det formål* at købe de valgte produkter.",3 (yellow),,
,,,Tasks,"Udvikle en proces, hvor kunden kan omdanne indholdet af kurven til en ordre."
,,,Acceptance Criteria,"Givet at en kunde har valgt produkter i kurven, *når* de klikker på ""bestil"", *så* skal de kunne gennemføre købet og se en ordrebekræftelse."
US 16 Ordreoversigt (Medarbejder),"*Som* medarbejder, *Ønsker jeg* at kunne se alle ordrer, *Med det formål* at få et overblik over arbejdsbyrden.",3 (yellow),,
,,,Tasks,"Udvikle et dashboard, hvor medarbejdere kan se en liste over alle aktuelle ordrer."
,,,Acceptance Criteria,"Givet at en medarbejder er logget ind, *når* de tilgår dashboardet, *så* skal de kunne se og sortere alle ordrer efter status, dato og andre relevante kriterier."
US 17 Gennemse Nye Ordrer (Medarbejder),"*Som* medarbejder, *Ønsker jeg* at gennemgå nye ordrer, *Med det formål* at kunne acceptere eller afvise dem.",3 (yellow),,
,,,Tasks,"Implementer en funktion, hvor medarbejdere kan gennemse og administrere nye ordrer."
,,,Acceptance Criteria,"Givet at en ny ordre er modtaget, *når* medarbejderen gennemgår ordren, *så* skal de kunne træffe en beslutning om at acceptere eller afvise ordren baseret på lagerbeholdning og andre faktorer."
US 18 Ordreansvar (Medarbejder),"*Som* medarbejder, *Ønsker jeg* at kunne tildele en ordre til mig selv, *Med det formål* at sikre ansvarsfordelingen for ordrehåndteringen.",3 (yellow),,
,,,Tasks,"Udvikle et system, hvor medarbejdere kan tildele specifikke ordrer til sig selv for håndtering."
,,,Acceptance Criteria,"Givet at en ordre skal behandles, *når* en medarbejder vælger ordren, *så* skal de kunne markere den som ""under behandling"" af sig selv."
US 19 Ordreklargøring (Medarbejder),"*Som* medarbejder, *Ønsker jeg* at markere en ordre som klar til afhentning og fuldført, *Med det formål* at administrere ordreflowet effektivt.",3 (yellow),,
,,,Tasks,"Skab en funktion, hvor medarbejdere kan opdatere ordrens status til ""klar til afhentning"" og senere ""afhentet""."
