Card Name,Card Description,Labels,List Name,Checklist,Checklist item
"US-039 US X Template ()","","5 (orange)","Project Ideas",,,
"US-040 Feedback og anmeldelser (Kunde)","Som kunde, ønsker jeg at kunne afgive feedback og anmelde produkter, med det formål at dele min oplevelse med andre kunder og hjælpe dem med at træffe informerede købsbeslutninger.","3 (yellow)","Project Ideas",,,
,,,,"Tasks","Implementer en feedback og anmeldelsesfunktion på produkt siderne."
,,,,"Acceptance Criteria","Givet at en kunde har købt et produkt, når de besøger produktets side efter købet, så skal de kunne skrive og indsende en anmeldelse."
"US-041 Gavekort og rabatkoder (Kunde)","Som kunde, ønsker jeg at kunne anvende gavekort og rabatkoder ved checkout, med det formål at udnytte tilbud og spare penge på køb.","5 (orange)","Project Ideas",,,
,,,,"Acceptance Criteria","Givet at en kunde har et gyldigt gavekort eller rabatkode, når de indtaster koden ved checkout, så skal den pågældende rabat eller gavekortets værdi fratrækkes fra den samlede ordre."
,,,,"Tasks","Udvikle en funktion, der tillader kunder at indløse gavekort og anvende rabatkoder ved betaling."
"US-001 Se Alle Produkter (Kunde)","Som kunde, ønsker jeg at se alle tilgængelige produkter, med det formål at vælge et produkt.","1 (green)","Sprint 1",,,
,,,,"Tasks","Implementer en produktoversigtsside med alle tilgængelige produkter."
,,,,"Acceptance Criteria","Givet at en kunde besøger produktoversigtssiden, når de kigger igennem siden, så skal de kunne se alle produkter, der er til salg."
"US-002 Oversigt over Produkter (Kunde)","Som kunde vil jeg kunne se en oversigt over blomsterarrangementer, så jeg kan vælge det, der passer til lejligheden.","3 (yellow)","Sprint 1",,,
,,,,"Tasks","Implementer kategorier, hvor produkter der har samme tema vises"
,,,,"Acceptance Criteria","Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget."
"US-003 Tilføj til Kurv (Kunde)","Som kunde, ønsker jeg at tilføje et produkt til min kurv, med det formål at samle min bestilling.","5 (orange)","Sprint 1",,,
,,,,"Tasks","Implementer en funktion til at tilføje produkter til en indkøbskurv."
,,,,"Acceptance Criteria","Givet at en kunde vælger et produkt, når de klikker på 'tilføj til kurv'-knappen, så skal produktet blive tilføjet til deres kurv."
"US-004 Ændre Produkter i Kurv (Bruger)","Som bruger, ønsker jeg at ændre mængden af produkter i min kurv, med det formål at justere min bestilling før køb.","2 (lime)","Sprint 1",,,
,,,,"Tasks","Implementer en redigeringsfunktion i kurven, hvor brugeren kan opdatere antallet eller fjerne produkter fra kurven."
,,,,"Acceptance Criteria","Givet at en bruger ønsker at ændre sin bestilling, når de besøger kurvsiden, så skal de kunne ændre antallet af produkter eller fjerne dem fra kurven."
"US-005 Opret Ordre (Kunde)","Som kunde, ønsker jeg at skabe en ordre fra min kurv, med det formål at købe de valgte produkter.","2 (lime)","Sprint 1",,,
,,,,"Tasks","Udvikle en proces, hvor kunden kan omdanne indholdet af kurven til en ordre."
,,,,"Acceptance Criteria","Givet at en kunde har valgt produkter i kurven, når de klikker på 'bestil', så skal de kunne gennemføre købet og se en ordrebekræftelse."
"US-006 Kurv til Ordre","Som ejer, ønsker jeg at kunden skal give relevant kontaktinformation for at kunne købe en ordre fra kurven, med det formål at undgå anonyme køb.","3 (yellow)","Sprint 1",,,
,,,,"Tasks","Kræv at brugere afgiver kontaktinformation, uden at oprette bruger"
,,,,"Acceptance Criteria","Givet at en anonym kunde ønsker at købe produkterne i kurv, når de forsøger at gøre dette, så bliver de bedt om at logge ind, oprette en konto eller afgive kontaktinformation."
"US-007 Registrerer sig (Kunde)","Som kunde, ønsker jeg selv at kunne registrer mig til webshoppen, så jeg hurtigst muligt kan udnytte fordele ved at være registreret bruger","5 (orange)","Sprint 1",,,
,,,,"Tasks","Implementer registrerings funktion"
,,,,"Tasks","Opret registreringsside"
,,,,"Acceptance Criteria","Givet at en anonym bruger, når denne vil registrerer sig på sitet, så vil denne få en bruger, som vedkommende kan logge ind med"
"US-008 Log ind (Kunde)","Som kunde vil jeg kunne logge ind, så jeg kan se mine ordrer og betalinger.","3 (yellow)","Sprint 1",,,
,,,,"Tasks","Implementer login funktion"
,,,,"Tasks","Implementer 'forkert password' funktion"
,,,,"Acceptance Criteria","Givet at en registreret kunde ønsker at logge ind når denne ønsker at interagere med siden som en registreret bruger, så vil denne logge ind, såfremt korrekt password og username er anvendt"
"US-009 Log ud (Kunde)","Som kunde vil jeg kunne logge ud, så jeg kan sikre, at mine oplysninger ikke er tilgængelige for andre.","3 (yellow)","Sprint 1",,,
,,,,"Tasks","Implementer log ud funktion"
,,,,"Tasks","Implementer auto-log ud funktion"
,,,,"Acceptance Criteria","Givet at en kunde vil logge ud, når denne er færdig med at interagere med sitet, så vil denne logges ud og returneres til forsiden"
"US-010 Profiloplysninger (Kunde)","Som kunde vil jeg kunne se en oversigt over mine personlige oplysninger, så jeg kan se, hvad I har registreret om mig.","3 (yellow)","Sprint 2",,,
,,,,"Acceptance Criteria","Givet at en kunde vil se sine egne registrerede oplysninger, når kunden er på sin profilside, så vil kunden kunne se dem på en heuristisk designet facon"
,,,,"Tasks","Opret side, hvor den kunde, der er logget ind, kan se sine egne oplysninger"
"US-011 Ændre profiloplysninger (Kunde)","Som kunde vil jeg kunne ændre mine personlige oplysninger, så jeg kan sikre, at de er korrekte.","3 (yellow)","Sprint 2",,,
,,,,"Tasks","Kunde skal kunne ændre i egen personlige oplysninger"
,,,,"Acceptance Criteria","Givet at en kunde vil opdatere sine oplysninger, når disse har ændret sig, så vil kunden kunne se sine oplysninger er opdateret til det af kunden angivne værdier"
"US-012 Log Ind på Ordreportal (medarbejder)","Som medarbejder, ønsker jeg at kunne logge ind på ordreportalen, med det formål at kunne ekspedere ordrer.","5 (orange)","Sprint 2",,,
,,,,"Acceptance Criteria","Givet at en medarbejder står foran sin arbejdsstation, når de indtaster deres legitimationsoplysninger, så skal de have adgang til ordreportalen, hvor de kan administrere ordrer."
,,,,"Tasks","Implementer en sikker log ind-funktion specifikt for medarbejdere på ordreportalen."
